                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.53471,                0.36466,                0.84017,                0.99391,                0.98129,                0.98578,                0.88659,                0.46223,                0.29689,                0.81492,             0.00018569,             0.00018569,             0.00018569
                     73,                0.54469,                0.36376,                0.84364,                0.99572,                0.98021,                 0.9863,                 0.8869,                0.47319,                0.30153,                0.81613,              0.0001795,              0.0001795,              0.0001795
                     74,                0.54021,                0.36253,                0.84263,                0.99535,                 0.9799,                0.98674,                0.89224,                0.46126,                0.29545,                0.81265,             0.00017331,             0.00017331,             0.00017331
                     75,                0.53462,                0.36096,                0.84176,                 0.9935,                0.98092,                0.98671,                0.88723,                0.46107,                0.29433,                 0.8125,             0.00016713,             0.00016713,             0.00016713
                     76,                0.54265,                0.36171,                0.84086,                0.98294,                 0.9859,                0.98656,                0.88113,                0.48462,                0.30289,                0.81656,             0.00016094,             0.00016094,             0.00016094
                     77,                0.52849,                0.35277,                0.83774,                0.99521,                0.97732,                0.98677,                0.89312,                0.44779,                0.28734,                0.81053,             0.00015475,             0.00015475,             0.00015475
                     78,                0.53157,                0.35178,                0.84083,                0.99292,                0.98607,                0.98691,                0.89238,                0.44463,                0.28873,                0.80936,             0.00014856,             0.00014856,             0.00014856
                     79,                0.52717,                0.35617,                0.83988,                0.99472,                0.98256,                0.98672,                0.89818,                0.44468,                 0.2853,                0.80881,             0.00014237,             0.00014237,             0.00014237
                     80,                0.52467,                0.35352,                0.83498,                0.98959,                0.98294,                0.98646,                0.90014,                0.43628,                0.28403,                0.80782,             0.00013619,             0.00013619,             0.00013619
                     81,                0.52145,                0.34756,                0.83644,                0.99512,                0.97941,                0.98677,                 0.8908,                0.44184,                0.28554,                0.80792,                0.00013,                0.00013,                0.00013
                     82,                0.51853,                0.34913,                 0.8343,                0.99391,                0.98287,                0.98691,                0.88728,                0.46341,                0.28961,                0.81317,             0.00012381,             0.00012381,             0.00012381
                     83,                0.51785,                0.34882,                0.83502,                0.99474,                 0.9825,                0.98666,                0.89033,                0.45548,                0.28387,                0.81185,             0.00011763,             0.00011763,             0.00011763
                     84,                0.50575,                0.34356,                 0.8365,                0.99328,                0.98325,                0.98646,                0.89547,                0.42723,                0.27751,                0.80624,             0.00011144,             0.00011144,             0.00011144
                     85,                0.50936,                0.34381,                0.83497,                0.99241,                0.98348,                0.98694,                 0.8907,                0.44064,                0.28166,                0.80787,             0.00010525,             0.00010525,             0.00010525
                     86,                0.49372,                0.33883,                0.83102,                0.99493,                0.98353,                0.98684,                0.89572,                0.42697,                 0.2773,                0.80649,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.49855,                0.33892,                0.83728,                0.99168,                0.98278,                0.98686,                0.89799,                0.43013,                0.27807,                  0.807,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.50246,                0.34197,                0.83033,                0.99171,                0.98645,                0.98688,                0.89947,                0.42012,                0.27505,                0.80571,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.48912,                0.33464,                0.82906,                0.99111,                0.98343,                0.98688,                0.90178,                0.42128,                0.27314,                 0.8047,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                 0.4783,                0.32915,                 0.8293,                0.99274,                0.98425,                0.98702,                0.90703,                0.41682,                0.27245,                0.80342,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.47005,                0.31396,                0.81217,                0.99068,                0.98036,                0.98637,                 0.8795,                0.47149,                0.29269,                0.81496,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                0.43495,                0.29564,                0.80532,                0.98959,                0.98057,                0.98548,                0.88388,                0.45914,                0.28845,                0.81107,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.42868,                0.29551,                0.80468,                0.99052,                0.98074,                0.98663,                0.89162,                0.44565,                0.28446,                0.80738,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.41174,                0.28766,                0.80185,                0.98841,                0.98263,                0.98576,                0.89465,                0.43657,                0.28078,                0.80711,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.41398,                  0.287,                0.80482,                0.99192,                0.98239,                0.98671,                0.89608,                0.42481,                0.27725,                0.80381,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.40285,                0.28346,                0.80197,                 0.9916,                0.98247,                0.98678,                0.89859,                0.43327,                0.27828,                0.80642,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.40258,                0.28273,                0.80203,                0.99121,                0.98075,                0.98683,                0.89807,                0.42695,                0.27632,                0.80448,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.40086,                0.28255,                0.79822,                0.99119,                0.98072,                0.98673,                0.90272,                0.42174,                0.27526,                0.80398,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.39617,                0.27957,                0.79681,                0.99109,                0.98032,                0.98687,                0.90551,                0.41892,                0.27342,                0.80397,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                 0.3908,                 0.2755,                0.79858,                0.99134,                0.97919,                0.98678,                0.90602,                0.41884,                0.27281,                0.80366,             1.2438e-05,             1.2438e-05,             1.2438e-05
