                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.65688,                0.40753,                0.87478,                0.99519,                0.96842,                0.98322,                0.85738,                0.55428,                0.33113,                 0.8419,               0.008647,               0.008647,               0.008647
                     84,                0.64158,                0.40332,                0.87245,                0.99172,                0.98364,                0.98709,                0.86804,                0.53298,                0.32591,                0.83527,              0.0086305,              0.0086305,              0.0086305
                     85,                 0.6444,                0.40292,                0.87265,                0.99148,                 0.9814,                0.98685,                0.86462,                0.53101,                 0.3216,                0.83793,               0.008614,               0.008614,               0.008614
                     86,                0.62504,                0.39796,                0.86665,                0.99569,                0.97782,                0.98726,                 0.8627,                0.53023,                0.32555,                0.83502,              0.0085975,              0.0085975,              0.0085975
                     87,                0.63664,                0.40231,                0.87907,                0.99076,                0.98013,                0.98651,                0.85744,                0.51722,                0.31683,                0.82856,               0.008581,               0.008581,               0.008581
                     88,                0.64084,                0.39823,                0.86823,                0.99364,                0.97166,                0.98604,                0.84819,                 0.5517,                0.32387,                 0.8411,              0.0085645,              0.0085645,              0.0085645
                     89,                0.61756,                0.38835,                 0.8646,                0.98892,                 0.9798,                0.98598,                0.86121,                 0.5268,                 0.3214,                0.83268,               0.008548,               0.008548,               0.008548
                     90,                0.62335,                0.38679,                0.86482,                0.99492,                0.97964,                0.98645,                0.86565,                0.52095,                0.31837,                0.82892,              0.0085315,              0.0085315,              0.0085315
                     91,                0.61659,                0.38365,                0.86264,                0.99204,                0.98547,                0.98658,                 0.8747,                0.50759,                0.31314,                 0.8262,               0.008515,               0.008515,               0.008515
                     92,                0.61408,                0.38541,                0.86181,                0.99442,                0.97939,                0.98656,                0.86877,                0.49963,                0.31323,                0.82543,              0.0084985,              0.0084985,              0.0084985
                     93,                0.63209,                0.39287,                0.86838,                0.99139,                 0.9798,                0.98674,                0.85913,                0.52929,                0.32576,                0.83341,               0.008482,               0.008482,               0.008482
                     94,                0.61734,                0.39113,                0.86519,                0.99153,                0.98667,                  0.987,                0.86832,                0.51407,                0.31497,                0.82839,              0.0084655,              0.0084655,              0.0084655
